"","hr","bats"
"1",20,"L"
"2",8,"R"
"3",35,"R"
"4",3,"B"
"5",1,"R"
"6",13,"L"
"7",29,"R"
"8",0,"R"
"9",17,"R"
"10",24,"R"
"11",2,"R"
"12",1,"L"
"13",5,"B"
"14",13,"L"
"15",13,"R"
"16",9,"R"
"17",2,"B"
"18",24,"L"
"19",10,"R"
"20",14,"B"
"21",10,"L"
"22",9,"L"
"23",8,"R"
"24",2,"R"
"25",3,"L"
"26",29,"R"
"27",1,"R"
"28",13,"R"
"29",10,"R"
"30",14,"R"
"31",28,"R"
"32",18,"L"
"33",23,"R"
"34",22,"R"
"35",3,"B"
"36",5,"R"
"37",25,"L"
"38",5,"R"
"39",4,"R"
"40",14,"L"
"41",11,"L"
"42",2,"B"
"43",8,"L"
"44",2,"R"
"45",4,"R"
"46",17,"R"
"47",16,"R"
"48",3,"R"
"49",9,"R"
"50",5,"R"
"51",4,"R"
"52",0,"B"
"53",14,"L"
"54",1,"R"
"55",21,"L"
"56",20,"L"
"57",18,"R"
"58",1,"L"
"59",18,"R"
"60",0,"R"
"61",3,"R"
"62",25,"R"
"63",0,"R"
"64",4,"L"
"65",4,"R"
"66",1,"R"
"67",5,"R"
"68",26,"R"
"69",2,"L"
"70",0,"R"
"71",14,"R"
"72",2,"B"
"73",13,"L"
"74",0,"L"
"75",14,"L"
"76",9,"L"
"77",2,"R"
"78",11,"L"
"79",4,"L"
"80",11,"R"
"81",8,"L"
"82",12,"L"
"83",9,"R"
"84",8,"R"
"85",25,"R"
"86",16,"L"
"87",8,"R"
"88",4,"R"
"89",35,"R"
"90",10,"R"
"91",10,"L"
"92",9,"R"
"93",10,"L"
"94",3,"L"
"95",41,"L"
"96",5,"R"
"97",2,"L"
"98",13,"R"
"99",7,"L"
"100",0,"R"
"101",21,"L"
"102",1,"R"
"103",0,"R"
"104",14,"R"
"105",1,"L"
"106",7,"R"
"107",1,"B"
"108",7,"L"
"109",15,"R"
"110",1,"L"
"111",4,"R"
"112",3,"R"
"113",11,"R"
"114",18,"R"
"115",10,"R"
"116",4,"L"
"117",19,"R"
"118",12,"L"
"119",4,"R"
"120",4,"R"
"121",11,"R"
"122",10,"R"
"123",3,"L"
"124",23,"R"
"125",19,"R"
"126",30,"L"
"127",6,"L"
"128",16,"B"
"129",9,"L"
"130",1,"B"
"131",14,"R"
"132",2,"R"
"133",11,"L"
"134",0,"B"
"135",2,"L"
"136",8,"L"
"137",5,"L"
"138",9,"R"
"139",6,"L"
"140",2,"R"
"141",2,"L"
"142",11,"L"
"143",15,"R"
"144",9,"L"
"145",4,"B"
"146",13,"L"
"147",33,"R"
"148",13,"L"
"149",32,"B"
"150",15,"R"
"151",15,"R"
"152",0,"L"
"153",1,"B"
"154",3,"L"
"155",2,"B"
"156",6,"L"
"157",41,"L"
"158",19,"L"
"159",10,"L"
"160",10,"R"
"161",8,"L"
"162",15,"R"
"163",17,"L"
"164",17,"L"
"165",15,"R"
"166",24,"R"
"167",25,"R"
"168",2,"B"
"169",2,"R"
"170",7,"L"
"171",6,"L"
"172",1,"R"
"173",13,"L"
"174",13,"L"
"175",5,"B"
"176",7,"R"
"177",8,"R"
"178",15,"L"
"179",3,"L"
"180",24,"R"
"181",4,"L"
"182",7,"L"
"183",10,"R"
"184",10,"R"
"185",12,"R"
"186",10,"R"
"187",1,"B"
"188",1,"R"
"189",16,"R"
"190",3,"R"
"191",48,"R"
"192",0,"B"
"193",0,"B"
"194",21,"B"
"195",3,"L"
"196",24,"B"
"197",12,"B"
"198",3,"R"
"199",0,"B"
"200",9,"L"
"201",1,"R"
"202",2,"L"
"203",7,"R"
"204",9,"L"
"205",2,"R"
"206",17,"L"
"207",10,"R"
"208",0,"R"
"209",4,"B"
"210",17,"R"
"211",1,"B"
"212",38,"R"
"213",17,"L"
"214",2,"L"
"215",9,"R"
"216",0,"R"
"217",7,"R"
"218",3,"R"
"219",6,"R"
"220",20,"R"
"221",2,"R"
"222",3,"L"
"223",6,"B"
"224",6,"R"
"225",13,"R"
"226",1,"L"
"227",7,"R"
"228",7,"B"
"229",4,"L"
"230",6,"L"
"231",8,"L"
"232",5,"B"
"233",3,"B"
"234",20,"R"
"235",16,"R"
"236",15,"L"
"237",5,"B"
"238",15,"L"
"239",8,"R"
"240",23,"R"
"241",19,"R"
